EnsemblProteinID	BaseAccession	UniProtSource	MappingSource	MappingDate
ENSP00000339889	A0AAA9X0G7	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000339912	Q9NZU0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000339913	P48061	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000339916	P53671	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000339917	Q9HBM6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000339950	Q86UX7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000339957	Q96K76	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000339958	Q9Y2I1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340006	O43399	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340029	X6R4W8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340041	Q8TBC4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340051	A0A8J8YW94	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340062	P13611	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340093	Q6IQ20	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340124	Q06330	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340129	Q99439	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340164	Q9BUV8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340167	Q9NTK5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340176	Q93062	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340184	Q9UHB6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340211	Q9BR76	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340220	Q96N11	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340221	Q9NSK0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340247	Q9NY35	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340251	G5E972	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340257	Q9NYL2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340257	D4Q8H0	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340260	Q8WXI4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340271	Q5VWG9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340274	Q9Y3L5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340284	P49796	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340292	P80370	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340297	O15013	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340329	Q14444	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340330	Q92993	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340385	Q9H078	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340391	Q96AC1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340409	P17405	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340427	Q7Z2K6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340441	Q9ULZ3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340445	Q658L1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340454	P52306	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340463	Q9HCY8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340465	Q08357	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340465	A0A384MR38	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340466	Q14697	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340470	Q5T8F0	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340474	Q8N9H8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340494	Q9H8N7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340505	Q96LD8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340507	O15164	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340510	O60437	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340514	P17017	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340523	Q96T66	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340524	Q8TF20	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340532	A8MVW5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340554	A0A0A0MRA3	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340557	Q14004	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340576	P15336	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340586	Q6P2M8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340591	Q8TEW0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340594	Q5VT97	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340595	J9JIE0	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340596	Q7Z3V4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340607	O43281	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340608	Q9HBY8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340633	Q15853	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340635	Q9Y281	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340635	Q549N0	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340648	Q7Z6Z7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340668	Q9NWD8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340684	P21397	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340684	Q53YE7	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340688	O94910	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340689	O94925	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340690	Q01196	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340691	Q13541	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340693	Q9NUY8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340702	Q9UPV9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340705	O95758	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340708	Q71UI9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340716	Q16799	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340736	P46976	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340737	Q96CB8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340742	Q96N67	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340761	Q8WY22	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340766	Q92540	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340774	Q16560	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340796	Q5BKZ1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340797	O75382	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340799	Q3SY56	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340800	Q86UE8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340815	P08195	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340816	P04035	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340823	P13984	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340836	Q92882	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340841	Q6ZSS3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340857	A0A0A0MRA5	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340867	Q9H0A8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340870	P15151	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340874	Q06413	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340878	P55011	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340883	G5E975	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340896	Q9UBL3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340900	Q5JRA6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340901	Q71RC2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340903	O95197	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340908	Q9Y232	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340913	Q9Y210	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340914	Q9BQG1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340934	Q86X55	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340939	P56856	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340944	Q06124	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340969	Q9Y6I9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340975	A6NJG2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340983	Q8N386	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340989	P31947	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340998	Q9HB63	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341007	P27815	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341028	Q13107	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341032	P56706	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341037	Q8TBZ3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341045	P54855	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341051	Q6UXF7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341071	Q9NR81	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341072	P60953	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341082	Q9BYC9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341083	P20594	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341086	Q6ZSL5	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341115	Q9NQ11	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341125	Q15646	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341141	Q9BZZ2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341155	Q9BXH1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341168	P06748	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341168	A0A0S2Z4G7	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341170	P21246	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341171	Q765P7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341189	Q05397	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341208	P42229	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341208	A0A384N5W4	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341247	Q8IYD1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341267	Q15651	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341268	Q15628	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341280	Q92833	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341282	Q8N0S2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341289	P68371	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341292	Q9H4A3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341293	P33260	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341324	Q8NEF9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341325	Q04912	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341329	O60637	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341342	Q8WZ60	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341344	Q9UJY5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341346	Q969V4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341350	O95206	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341351	Q96JK2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341358	Q9Y282	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341358	A2TJK5	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341360	Q53SF7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341361	O43567	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341368	Q5T0Z8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341382	Q9NTJ3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341390	P08235	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341390	B0ZBF6	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341400	O14770	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341408	Q8N2K0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341429	P30566	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341452	Q9P016	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341459	Q8WWM7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341483	Q9H6Z4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341489	Q6ZW31	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341490	Q6H9L7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341491	Q15742	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341504	Q8WVC6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341517	Q8TBP0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341524	Q14141	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341528	Q8IZ26	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341551	Q13485	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341551	A0A024R274	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341558	H7BXX0	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341565	Q6SJ93	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341567	Q9BYX2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341583	A0A0C4DFS3	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341584	Q9UIV8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341597	Q9NRY5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341597	A0A140VKG4	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341610	Q9C002	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341619	P23771	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341625	P00167	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341625	A0A384ME44	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341629	O00337	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341653	P06753	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341662	Q6ZNB7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341662	X5D773	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341679	O95544	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341680	Q96EV8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341680	A0A0S2Z5U8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341692	P51398	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341698	Q96B36	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341737	Q8NC96	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341743	O43768	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341779	P36873	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341781	Q8WXH0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341782	Q96MZ0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341785	Q96A54	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341815	P35713	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341819	Q2TAL6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341826	P09651	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341838	P19429	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341838	Q6FGX2	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341844	Q8TEW0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341845	Q9BV36	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341848	Q14789	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341861	H9KV48	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341874	O14730	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341874	B0YJ89	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341883	Q9BRR0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341885	P15880	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341895	P32121	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341903	O43795	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341905	Q86YV0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341911	O75781	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341917	P17813	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341917	Q5T9B9	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341930	E9PC85	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341938	Q8NBJ7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341940	P56539	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341947	Q6MZP7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341957	Q13625	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341963	Q92681	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341980	O14933	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000341990	P40426	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342007	P05177	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342011	Q13426	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342015	Q49B96	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342019	O75820	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342023	Q6PIJ6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342026	P30041	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342026	V9HWC7	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342032	P07738	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342032	A0A024R782	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342049	Q03405	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342056	O75390	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342070	P07858	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342070	A0A024R374	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342082	P03973	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342098	O43278	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342100	F8W9B8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342105	Q92630	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342112	Q8WWI1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342121	Q9Y252	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342121	A0A024RDP2	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342133	O14924	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342137	Q6ZVX7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342139	O00214	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342143	Q5T2W1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342144	Q86UK5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342159	Q9BQF6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
