Entry	Gene Names (primary)	Gene Names	Protein names	Reviewed
Q8NGA5	OR10H4	OR10H4	Olfactory receptor 10H4 (Olfactory receptor OR19-28)	reviewed
Q8NGA6	OR10H5	OR10H5	Olfactory receptor 10H5 (Olfactory receptor OR19-25) (Olfactory receptor OR19-26)	reviewed
Q8NGA8	OR4F17	OR4F17 OR4F11P OR4F18 OR4F19	Olfactory receptor 4F17 (Olfactory receptor 4F11) (Olfactory receptor 4F18) (Olfactory receptor 4F19)	reviewed
Q8NGB2	OR4C5	OR4C5	Olfactory receptor 4C5 (Olfactory receptor OR11-99)	reviewed
Q8NGB4	OR4S1	OR4S1	Olfactory receptor 4S1 (Olfactory receptor OR11-100)	reviewed
Q8NGB6	OR4M2	OR4M2	Olfactory receptor 4M2 (Olfactory receptor OR15-3)	reviewed
Q8NGB8	OR4F15	OR4F15	Olfactory receptor 4F15 (Olfactory receptor OR15-14)	reviewed
Q8NGB9	OR4F6	OR4F6 OR4F12	Olfactory receptor 4F6 (Olfactory receptor 4F12) (Olfactory receptor OR15-15)	reviewed
Q8NGC0	OR5AU1	OR5AU1	Olfactory receptor 5AU1 (Olfactory receptor OR14-38)	reviewed
Q8NGC1	OR11G2	OR11G2	Olfactory receptor 11G2 (Olfactory receptor OR14-34)	reviewed
Q8NGC2	OR4E2	OR4E2	Olfactory receptor 4E2 (Olfactory receptor OR14-42)	reviewed
Q8NGC3	OR10G2	OR10G2	Olfactory receptor 10G2	reviewed
Q8NGC5	OR6J1	OR6J1 OR6J2	Olfactory receptor 6J1 (Olfactory receptor 6J2)	reviewed
Q8NGC6	OR4K17	OR4K17	Olfactory receptor 4K17 (Olfactory receptor OR14-29)	reviewed
Q8NGC7	OR11H6	OR11H6	Olfactory receptor 11H6 (Olfactory receptor OR14-35)	reviewed
Q8NGC9	OR11H4	OR11H4	Olfactory receptor 11H4 (Olfactory receptor OR14-36)	reviewed
Q8NGD1	OR4N2	OR4N2	Olfactory receptor 4N2 (Olfactory receptor OR14-13) (Olfactory receptor OR14-8)	reviewed
Q8NGD2	OR4K2	OR4K2	Olfactory receptor 4K2 (Olfactory receptor OR14-15)	reviewed
Q8NGD3	OR4K5	OR4K5	Olfactory receptor 4K5 (Olfactory receptor OR14-16)	reviewed
Q8NGD4	OR4K1	OR4K1	Olfactory receptor 4K1 (Olfactory receptor OR14-19)	reviewed
Q8NGD5	OR4K14	OR4K14	Olfactory receptor 4K14 (Olfactory receptor OR14-22)	reviewed
Q8NGE0	OR10AD1	OR10AD1 OR10AD1P	Olfactory receptor 10AD1 (Olfactory receptor OR12-1)	reviewed
Q8NGE1	OR6C4	OR6C4	Olfactory receptor 6C4 (Olfactory receptor OR12-10)	reviewed
Q8NGE2	OR2AP1	OR2AP1 OR2AP1P	Olfactory receptor 2AP1 (Olfactory receptor OR12-9)	reviewed
Q8NGE5	OR10A7	OR10A7	Olfactory receptor 10A7 (Olfactory receptor OR12-6)	reviewed
Q8NGE7	OR9K2	OR9K2	Olfactory receptor 9K2 (Olfactory receptor OR12-2)	reviewed
Q8NGE8	OR4D9	OR4D9	Olfactory receptor 4D9 (Olfactory receptor OR11-253)	reviewed
Q8NGE9	OR9Q2	OR9Q2 OR9Q2P	Olfactory receptor 9Q2	reviewed
Q8NGF0	OR52B6	OR52B6	Olfactory receptor 52B6 (Olfactory receptor OR11-47)	reviewed
Q8NGF1	OR52R1	OR52R1	Olfactory receptor 52R1 (Olfactory receptor OR11-22)	reviewed
Q8NGF3	OR51D1	OR51D1	Olfactory receptor 51D1 (Olfactory receptor OR11-14)	reviewed
Q8NGF4	OR5AP2	OR5AP2	Olfactory receptor 5AP2	reviewed
Q8NGF6	OR10W1	OR10W1 OR10W1P UNQ6469/PRO34070	Olfactory receptor 10W1 (Olfactory receptor OR11-236)	reviewed
Q8NGF7	OR5B17	OR5B17 OR5B20P	Olfactory receptor 5B17 (Olfactory receptor 5B20) (Olfactory receptor OR11-237)	reviewed
Q8NGF8	OR4B1	OR4B1	Olfactory receptor 4B1 (OST208) (Olfactory receptor OR11-106)	reviewed
Q8NGF9	OR4X2	OR4X2	Olfactory receptor 4X2 (Olfactory receptor OR11-105)	reviewed
Q8NGG0	OR8J3	OR8J3	Olfactory receptor 8J3 (Olfactory receptor OR11-173)	reviewed
Q8NGG1	OR8J2	OR8J2 OR8J2P	Olfactory receptor 8J2	reviewed
Q8NGG3	OR5T3	OR5T3	Olfactory receptor 5T3 (Olfactory receptor OR11-178)	reviewed
Q8NGG4	OR8H1	OR8H1	Olfactory receptor 8H1 (Olfactory receptor OR11-180)	reviewed
Q8NGG5	OR8K1	OR8K1	Olfactory receptor 8K1 (Olfactory receptor OR11-182)	reviewed
Q8NGG6	OR8B12	OR8B12	Olfactory receptor 8B12 (Olfactory receptor OR11-317)	reviewed
Q8NGG7	OR8A1	OR8A1	Olfactory receptor 8A1 (OST025) (Olfactory receptor OR11-318)	reviewed
Q8NGG8	OR8B3	OR8B3	Olfactory receptor 8B3 (Olfactory receptor OR11-311)	reviewed
Q8NGH3	OR2D3	OR2D3	Olfactory receptor 2D3 (Olfactory receptor OR11-89)	reviewed
Q8NGH5	OR56A1	OR56A1	Olfactory receptor 56A1 (Olfactory receptor OR11-75)	reviewed
Q8NGH6	OR52L2P	OR52L2P OR52L2	Putative olfactory receptor 52L2 (Olfactory receptor OR11-74)	reviewed
Q8NGH8	OR56A4	OR56A4	Olfactory receptor 56A4 (Olfactory receptor OR11-49)	reviewed
Q8NGH9	OR52E4	OR52E4	Olfactory receptor 52E4 (Olfactory receptor OR11-55)	reviewed
Q8NGI0	OR52N2	OR52N2	Olfactory receptor 52N2 (Olfactory receptor OR11-57)	reviewed
Q8NGI1	OR56B2	OR56B2 OR56B2P	Olfactory receptor 56B2	reviewed
Q8NGI3	OR56B1	OR56B1 OR56B1P	Olfactory receptor 56B1 (Olfactory receptor OR11-65)	reviewed
Q8NGI4	OR4D11	OR4D11 OR4D11P	Olfactory receptor 4D11	reviewed
Q8NGI6	OR4D10	OR4D10 OR4D10P	Olfactory receptor 4D10 (Olfactory receptor OR11-251)	reviewed
Q8NGI7	OR10V1	OR10V1	Olfactory receptor 10V1 (Olfactory receptor OR11-256)	reviewed
Q8NGI9	OR5A2	OR5A2	Olfactory receptor 5A2 (Olfactory receptor OR11-248)	reviewed
Q8NGJ0	OR5A1	OR5A1 OR5A1P	Olfactory receptor 5A1 (OST181) (Olfactory receptor OR11-249)	reviewed
Q8NGJ1	OR4D6	OR4D6	Olfactory receptor 4D6 (Olfactory receptor OR11-250)	reviewed
Q8NGJ2	OR52H1	OR52H1	Olfactory receptor 52H1 (Olfactory receptor OR11-45)	reviewed
Q8NGJ3	OR52E1	OR52E1 OR52E1P	Olfactory receptor 52E1	reviewed
Q8NGJ4	OR52E2	OR52E2	Olfactory receptor 52E2	reviewed
Q8NGJ5	OR51L1	OR51L1	Olfactory receptor 51L1 (Olfactory receptor OR11-31)	reviewed
Q8NGJ6	OR51A4	OR51A4	Olfactory receptor 51A4	reviewed
Q8NGJ7	OR51A2	OR51A2	Olfactory receptor 51A2	reviewed
Q8NGJ8	OR51S1	OR51S1	Olfactory receptor 51S1 (Olfactory receptor OR11-24)	reviewed
Q8NGJ9	OR51T1	OR51T1	Olfactory receptor 51T1 (Olfactory receptor OR11-26)	reviewed
Q8NGK0	OR51G2	OR51G2	Olfactory receptor 51G2 (Olfactory receptor OR11-28)	reviewed
Q8NGK1	OR51G1	OR51G1 OR51G3P	Olfactory receptor 51G1 (Olfactory receptor 51G3) (Olfactory receptor OR11-29)	reviewed
Q8NGK3	OR52K2	OR52K2	Olfactory receptor 52K2 (Olfactory receptor OR11-7)	reviewed
Q8NGK4	OR52K1	OR52K1	Olfactory receptor 52K1 (Olfactory receptor OR11-8)	reviewed
Q8NGK5	OR52M1	OR52M1 OR52M1P	Olfactory receptor 52M1 (Olfactory receptor OR11-11)	reviewed
Q8NGK6	OR52I1	OR52I1	Olfactory receptor 52I1 (Olfactory receptor OR11-13)	reviewed
Q8NGK9	OR5D16	OR5D16	Olfactory receptor 5D16 (Olfactory receptor OR11-154)	reviewed
Q8NGL0	OR5L2	OR5L2	Olfactory receptor 5L2 (HTPCRX16) (Olfactory receptor OR11-153)	reviewed
Q8NGL1	OR5D18	OR5D18	Olfactory receptor 5D18 (Olfactory receptor OR11-143) (Olfactory receptor OR11-152)	reviewed
Q8NGL2	OR5L1	OR5L1	Olfactory receptor 5L1 (OST262) (Olfactory receptor OR11-151)	reviewed
Q8NGL3	OR5D14	OR5D14	Olfactory receptor 5D14 (Olfactory receptor OR11-141) (Olfactory receptor OR11-150)	reviewed
Q8NGL4	OR5D13	OR5D13	Olfactory receptor 5D13 (Olfactory receptor OR11-142) (Olfactory receptor OR11-148)	reviewed
Q8NGL6	OR4A15	OR4A15	Olfactory receptor 4A15 (Olfactory receptor OR11-118)	reviewed
Q8NGL7	OR4P4	OR4P4 OR4P3P	Olfactory receptor 4P4 (Olfactory receptor 4P3)	reviewed
Q8NGL9	OR4C16	OR4C16	Olfactory receptor 4C16 (Olfactory receptor OR11-135)	reviewed
Q8NGM1	OR4C15	OR4C15	Olfactory receptor 4C15 (Olfactory receptor OR11-127) (Olfactory receptor OR11-134)	reviewed
Q8NGM8	OR6M1	OR6M1	Olfactory receptor 6M1 (Olfactory receptor OR11-271)	reviewed
Q8NGN0	OR4D5	OR4D5	Olfactory receptor 4D5 (Olfactory receptor OR11-276)	reviewed
Q8NGN1	OR6T1	OR6T1	Olfactory receptor 6T1 (Olfactory receptor OR11-277)	reviewed
Q8NGN2	OR10S1	OR10S1	Olfactory receptor 10S1 (Olfactory receptor OR11-279)	reviewed
Q8NGN4	OR10G9	OR10G9 OR10G10P	Olfactory receptor 10G9 (Olfactory receptor 10G10)	reviewed
Q8NGN5	OR10G8	OR10G8	Olfactory receptor 10G8 (Olfactory receptor OR11-282)	reviewed
Q8NGN6	OR10G7	OR10G7	Olfactory receptor 10G7 (Olfactory receptor OR11-283)	reviewed
Q8NGN7	OR10D4P	OR10D4P OR10D4	Putative olfactory receptor 10D4	reviewed
Q8NGN8	OR4A4P	OR4A4P	Putative olfactory receptor 4A4 (Olfactory receptor OR11-107)	reviewed
Q8NGP0	OR4C13	OR4C13	Olfactory receptor 4C13 (Olfactory receptor OR11-260)	reviewed
Q8NGP2	OR8J1	OR8J1	Olfactory receptor 8J1 (Olfactory receptor OR11-183)	reviewed
Q8NGP3	OR5M9	OR5M9	Olfactory receptor 5M9 (Olfactory receptor OR11-190)	reviewed
Q8NGP4	OR5M3	OR5M3	Olfactory receptor 5M3 (Olfactory receptor OR11-191)	reviewed
Q8NGP6	OR5M8	OR5M8	Olfactory receptor 5M8 (Olfactory receptor OR11-194)	reviewed
Q8NGP8	OR5M1	OR5M1	Olfactory receptor 5M1 (OST050) (Olfactory receptor OR11-208)	reviewed
Q8NGP9	OR5AR1	OR5AR1	Olfactory receptor 5AR1 (Olfactory receptor OR11-209)	reviewed
Q8NGQ2	OR6Q1	OR6Q1	Olfactory receptor 6Q1 (Olfactory receptor OR11-226)	reviewed
Q8NGQ3	OR1S2	OR1S2	Olfactory receptor 1S2 (Olfactory receptor OR11-231)	reviewed
Q8NGQ4	OR10Q1	OR10Q1	Olfactory receptor 10Q1 (Olfactory receptor OR11-233)	reviewed
Q8NGQ5	OR9Q1	OR9Q1	Olfactory receptor 9Q1	reviewed
Q8NGQ6	OR9I1	OR9I1	Olfactory receptor 9I1 (Olfactory receptor OR11-228)	reviewed
Q8NGR1	OR13A1	OR13A1	Olfactory receptor 13A1 (Olfactory receptor OR10-3)	reviewed
Q8NGR3	OR1K1	OR1K1	Olfactory receptor 1K1	reviewed
Q8NGR4	OR5C1	OR5C1 OR5C2P	Olfactory receptor 5C1 (Olfactory receptor 5C2) (Olfactory receptor 9-F) (OR9-F)	reviewed
Q8NGR5	OR1L4	OR1L4 OR1L5	Olfactory receptor 1L4 (OST046) (Olfactory receptor 1L5) (Olfactory receptor 9-E) (OR9-E) (Olfactory receptor OR9-29)	reviewed
Q8NGR8	OR1L8	OR1L8	Olfactory receptor 1L8 (Olfactory receptor OR9-24)	reviewed
Q8NGR9	OR1N2	OR1N2	Olfactory receptor 1N2 (Olfactory receptor OR9-23)	reviewed
Q8NGS0	OR1N1	OR1N1 OR1N3	Olfactory receptor 1N1 (Olfactory receptor 1-26) (OR1-26) (Olfactory receptor 1N3) (Olfactory receptor OR9-22)	reviewed
Q8NGS1	OR1J4	OR1J4	Olfactory receptor 1J4 (HTPCRX01) (Olfactory receptor OR9-21)	reviewed
Q8NGS3	OR1J1	OR1J1	Olfactory receptor 1J1 (Olfactory receptor OR9-18)	reviewed
Q8NGS4	OR13F1	OR13F1	Olfactory receptor 13F1 (Olfactory receptor OR9-6)	reviewed
Q8NGS5	OR13C4	OR13C4	Olfactory receptor 13C4 (Olfactory receptor OR9-7)	reviewed
Q8NGS6	OR13C3	OR13C3	Olfactory receptor 13C3 (Olfactory receptor OR9-8)	reviewed
Q8NGS7	OR13C8	OR13C8	Olfactory receptor 13C8	reviewed
Q8NGS9	OR13C2	OR13C2	Olfactory receptor 13C2 (Olfactory receptor OR9-12)	reviewed
Q8NGT0	OR13C9	OR13C9	Olfactory receptor 13C9 (Olfactory receptor OR9-13)	reviewed
Q8NGT1	OR2K2	OR2K2 OR2AR1P	Olfactory receptor 2K2 (HTPCRH06) (Olfactory receptor OR9-17)	reviewed
Q8NGT2	OR13J1	OR13J1	Olfactory receptor 13J1 (Olfactory receptor OR9-2)	reviewed
Q8NGT5	OR9A2	OR9A2	Olfactory receptor 9A2 (Olfactory receptor OR7-2)	reviewed
Q8NGT7	OR2A12	OR2A12 OR2A12P	Olfactory receptor 2A12 (Olfactory receptor OR7-10)	reviewed
Q8NGT9	OR2A1; OR2A42	OR2A1; OR2A42	Olfactory receptor 2A1/2A42 (Olfactory receptor OR7-16) (Olfactory receptor OR7-19)	reviewed
Q8NGU1	OR9A1P	OR9A1P OR9A1	Olfactory receptor 9A1 (HSHTPRX06)	reviewed
Q8NGU2	OR9A4	OR9A4	Olfactory receptor 9A4 (Olfactory receptor OR7-1)	reviewed
Q8NGU4	OR2I1	OR2I1 OR2I1P OR2I2P OR2I3P OR2I4P	Putative olfactory receptor 2I1 (Putative olfactory receptor 2I2) (Putative olfactory receptor 2I3) (Putative olfactory receptor 2I4)	reviewed
Q8NGU9	GPR150	GPR150	Probable G protein-coupled receptor 150	reviewed
Q8NGV0	OR2Y1	OR2Y1	Olfactory receptor 2Y1 (Olfactory receptor OR5-2)	reviewed
Q8NGV5	OR13D1	OR13D1	Olfactory receptor 13D1 (Olfactory receptor OR9-15)	reviewed
Q8NGV7	OR5H2	OR5H2	Olfactory receptor 5H2 (Olfactory receptor OR3-10)	reviewed
Q8NGW1	OR6B3	OR6B3 OR6B3P	Olfactory receptor 6B3 (Olfactory receptor OR2-2)	reviewed
Q8NGX0	OR11L1	OR11L1	Olfactory receptor 11L1	reviewed
Q8NGX1	OR2T34	OR2T34	Olfactory receptor 2T34 (Olfactory receptor OR1-63)	reviewed
Q8NGX2	OR2T35	OR2T35	Olfactory receptor 2T35 (Olfactory receptor OR1-66)	reviewed
Q8NGX5	OR10K1	OR10K1	Olfactory receptor 10K1 (Olfactory receptor OR1-6)	reviewed
Q8NGX6	OR10R2	OR10R2	Olfactory receptor 10R2 (Olfactory receptor OR1-8)	reviewed
Q8NGX8	OR6Y1	OR6Y1 OR6Y2	Olfactory receptor 6Y1 (Olfactory receptor 6Y2) (Olfactory receptor OR1-11)	reviewed
Q8NGX9	OR6P1	OR6P1	Olfactory receptor 6P1 (Olfactory receptor OR1-12)	reviewed
Q8NGY1	OR10Z1	OR10Z1	Olfactory receptor 10Z1 (Olfactory receptor OR1-15)	reviewed
Q8NGY2	OR6K2	OR6K2	Olfactory receptor 6K2 (Olfactory receptor OR1-17)	reviewed
Q8NGY5	OR6N1	OR6N1	Olfactory receptor 6N1	reviewed
Q8NGY6	OR6N2	OR6N2	Olfactory receptor 6N2 (Olfactory receptor OR1-23)	reviewed
Q8NGY7	OR10J6P	OR10J6P OR10J6	Putative olfactory receptor 10J6	reviewed
Q8NGY9	OR2L8	OR2L8	Olfactory receptor 2L8 (Olfactory receptor OR1-46)	reviewed
Q8NGZ0	OR2AJ1	OR2AJ1 OR2AJ1P	Olfactory receptor 2AJ1	reviewed
Q8NGZ2	OR14K1	OR14K1 OR5AY1	Olfactory receptor 14K1 (Olfactory receptor 5AY1) (Olfactory receptor OR1-39)	reviewed
Q8NGZ3	OR13G1	OR13G1	Olfactory receptor 13G1 (Olfactory receptor OR1-37)	reviewed
Q8NGZ4	OR2G3	OR2G3	Olfactory receptor 2G3 (Olfactory receptor OR1-33)	reviewed
Q8NGZ5	OR2G2	OR2G2	Olfactory receptor 2G2 (Olfactory receptor OR1-32)	reviewed
Q8NGZ6	OR6F1	OR6F1	Olfactory receptor 6F1 (Olfactory receptor OR1-38)	reviewed
Q8NGZ9	OR2T10	OR2T10	Olfactory receptor 2T10 (Olfactory receptor OR1-64)	reviewed
Q8NH00	OR2T4	OR2T4	Olfactory receptor 2T4 (Olfactory receptor OR1-60)	reviewed
Q8NH01	OR2T11	OR2T11	Olfactory receptor 2T11 (Olfactory receptor OR1-65)	reviewed
Q8NH02	OR2T29	OR2T29	Olfactory receptor 2T29	reviewed
Q8NH03	OR2T3	OR2T3	Olfactory receptor 2T3	reviewed
Q8NH04	OR2T27	OR2T27	Olfactory receptor 2T27 (Olfactory receptor OR1-67)	reviewed
Q8NH05	OR4Q3	OR4Q3 C14orf13 OR4Q4	Olfactory receptor 4Q3 (Olfactory receptor 4Q4) (Olfactory receptor OR14-3)	reviewed
Q8NH06	OR1P1	OR1P1 OR1P1P	Olfactory receptor 1P1 (Olfactory receptor 17-208) (OR17-208) (Olfactory receptor OR17-9)	reviewed
Q8NH07	OR11H2	OR11H2 C14orf15 OR11H2P	Olfactory receptor 11H2 (Olfactory receptor OR14-1)	reviewed
Q8NH08	OR10AC1	OR10AC1 OR10AC1P	Olfactory receptor 10AC1 (Olfactory receptor OR7-5)	reviewed
Q8NH09	OR8S1	OR8S1	Olfactory receptor 8S1	reviewed
Q8NH10	OR8U1	OR8U1	Olfactory receptor 8U1	reviewed
Q8NH16	OR2L2	OR2L2 OR2L12 OR2L4P	Olfactory receptor 2L2 (HTPCRH07) (Olfactory receptor 2L12) (Olfactory receptor 2L4)	reviewed
Q8NH18	OR5J2	OR5J2	Olfactory receptor 5J2 (Olfactory receptor OR11-266)	reviewed
Q8NH37	OR4C3	OR4C3	Olfactory receptor 4C3 (Olfactory receptor OR11-98)	reviewed
Q8NH40	OR6S1	OR6S1	Olfactory receptor 6S1 (Olfactory receptor OR14-37)	reviewed
Q8NH41	OR4K15	OR4K15	Olfactory receptor 4K15 (Olfactory receptor OR14-20)	reviewed
Q8NH42	OR4K13	OR4K13	Olfactory receptor 4K13 (Olfactory receptor OR14-27)	reviewed
Q8NH49	OR4X1	OR4X1	Olfactory receptor 4X1 (Olfactory receptor OR11-104)	reviewed
Q8NH50	OR8K5	OR8K5	Olfactory receptor 8K5 (Olfactory receptor OR11-174)	reviewed
Q8NH51	OR8K3	OR8K3	Olfactory receptor 8K3 (Olfactory receptor OR11-181)	reviewed
Q8NH53	OR52N1	OR52N1	Olfactory receptor 52N1 (Olfactory receptor OR11-61)	reviewed
Q8NH54	OR56A3	OR56A3 OR56A3P OR56A6	Olfactory receptor 56A3 (Olfactory receptor 56A6)	reviewed
Q8NH55	OR52E5	OR52E5	Olfactory receptor 52E5	reviewed
Q8NH56	OR52N5	OR52N5	Olfactory receptor 52N5 (Olfactory receptor OR11-62)	reviewed
Q8NH57	OR52P1	OR52P1 OR52P1P	Olfactory receptor 52P1	reviewed
Q8NH60	OR52J3	OR52J3	Olfactory receptor 52J3 (Olfactory receptor OR11-32)	reviewed
Q8NH61	OR51F2	OR51F2	Olfactory receptor 51F2 (Olfactory receptor OR11-23)	reviewed
Q8NH63	OR51H1	OR51H1 OR51H1P	Olfactory receptor 51H1 (Olfactory receptor OR11-25)	reviewed
Q8NH64	OR51A7	OR51A7	Olfactory receptor 51A7 (Olfactory receptor OR11-27)	reviewed
Q8NH67	OR52I2	OR52I2	Olfactory receptor 52I2 (Olfactory receptor OR11-12)	reviewed
Q8NH70	OR4A16	OR4A16	Olfactory receptor 4A16 (Olfactory receptor OR11-117)	reviewed
Q8NH72	OR4C6	OR4C6	Olfactory receptor 4C6 (Olfactory receptor OR11-138)	reviewed
Q8NH73	OR4S2	OR4S2 OR4S2P	Olfactory receptor 4S2 (Olfactory receptor OR11-137)	reviewed
Q8NH74	OR10A6	OR10A6	Olfactory receptor 10A6 (Olfactory receptor OR11-96)	reviewed
Q8NH76	OR56B4	OR56B4	Olfactory receptor 56B4 (Olfactory receptor OR11-67)	reviewed
Q8NH79	OR6X1	OR6X1	Olfactory receptor 6X1 (Olfactory receptor OR11-270)	reviewed
Q8NH80	OR10D3	OR10D3 OR10D3P	Olfactory receptor 10D3 (HTPCRX09) (Olfactory receptor OR11-293)	reviewed
Q8NH81	OR10G6	OR10G6 OR10G6P	Olfactory receptor 10G6 (Olfactory receptor OR11-280)	reviewed
Q8NH83	OR4A5	OR4A5	Olfactory receptor 4A5 (Olfactory receptor OR11-111)	reviewed
Q8NH89	OR5AK3P	OR5AK3P OR5AK3	Olfactory receptor 5AK3	reviewed
Q8NH90	OR5AK2	OR5AK2	Olfactory receptor 5AK2	reviewed
Q8NH93	OR1L3	OR1L3	Olfactory receptor 1L3 (Olfactory receptor 9-D) (OR9-D) (Olfactory receptor OR9-28)	reviewed
Q8NH95	OR13C6P	OR13C6P	Putative olfactory receptor 13C6 (Olfactory receptor, family 13, subfamily C, member 6 pseudogene) (Olfactory receptor, family 13, subfamily C, member 7 pseudogene) (Putative olfactory receptor 13C7)	reviewed
Q8NHA4	OR2AE1	OR2AE1 OR2AE2	Olfactory receptor 2AE1 (Olfactory receptor 2AE2)	reviewed
Q8NHA6	OR2W6P	OR2W6P OR2W7P	Putative olfactory receptor 2W6 (Olfactory receptor OR6-3) (Putative olfactory receptor 2W7)	reviewed
Q8NHA8	OR1F12P	OR1F12P OR1F12	Putative olfactory receptor 1F12P (Hs6M1-35P)	reviewed
Q8NHB1	OR2V1	OR2V1	Olfactory receptor 2V1	reviewed
Q8NHB7	OR5K1	OR5K1	Olfactory receptor 5K1 (HTPCRX10) (Olfactory receptor OR3-8)	reviewed
Q8NHB8	OR5K2	OR5K2	Olfactory receptor 5K2 (Olfactory receptor OR3-9)	reviewed
Q8NHC5	OR14A16	OR14A16 OR5AT1	Olfactory receptor 14A16 (Olfactory receptor 5AT1) (Olfactory receptor OR1-45)	reviewed
Q8NHC6	OR14L1	OR14L1 OR14L1P OR5AV1P	Olfactory receptor 14L1 (Olfactory receptor 5AV1)	reviewed
Q8NHC7	OR14C36	OR14C36 OR5BF1	Olfactory receptor 14C36 (Olfactory receptor 5BF1) (Olfactory receptor OR1-59)	reviewed
Q8NHR9	PFN4	PFN4	Profilin-4 (Profilin IV)	reviewed
Q8NHS4	CLHC1	CLHC1 C2orf63	Clathrin heavy chain linker domain-containing protein 1	reviewed
Q8NHU0	CT45A3	CT45A3 CT45-3 CT45-4 CT45A4	Cancer/testis antigen family 45 member A3 (Cancer/testis antigen 45-3) (Cancer/testis antigen 45-4) (Cancer/testis antigen 45A3) (Cancer/testis antigen 45A4) (Cancer/testis antigen family 45 member A4)	reviewed
Q8NHV5	MOSMO	MOSMO ATTHOG C16orf52	Modulator of smoothened protein (Attenuator of hedgehog)	reviewed
Q8NHW5	RPLP0P6	RPLP0P6	Putative ribosomal protein uL10-like (60S acidic ribosomal protein P0-like) (Large ribosomal subunit protein uL10-like)	reviewed
Q8NHW6	OTOS	OTOS OTOSP	Otospiralin	reviewed
Q8NHX6	HCC5	HCC5	DNA replication licensing factor MCM3 (EC 3.6.4.12)	unreviewed
Q8NHY5	HUS1B	HUS1B	Checkpoint protein HUS1B (hHUS1B)	reviewed
Q8NI16	FGFR3	FGFR3	Fibroblast growth factor receptor 3 (EC 2.7.10.1)	unreviewed
Q8NI45	COQ7	COQ7	5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Timing protein clk-1 homolog) (Ubiquinone biosynthesis monooxygenase COQ7)	unreviewed
Q8TA94	ZNF563	ZNF563	Zinc finger protein 563	reviewed
Q8TAA1	RNASE11	RNASE11 C14orf6 UNQ5832/PRO19669	Putative inactive ribonuclease 11 (RNase 11)	reviewed
Q8TAE4	PDE1C	PDE1C	Phosphodiesterase (EC 3.1.4.-)	unreviewed
Q8TAI1	TYMSOS	TYMSOS C18orf56	TYMS opposite strand protein	reviewed
Q8TAM4	CDK5R1	CDK5R1	Cyclin-dependent kinase 5 activator	unreviewed
Q8TAM9	ICAM5	ICAM5	Intercellular adhesion molecule 5 (Telencephalin)	unreviewed
Q8TAS3	PRRG2	PRRG2	PRRG2 protein	unreviewed
Q8TAU0	NKX2-3	NKX2-3 NKX23 NKX2C	Homeobox protein Nkx-2.3 (Homeobox protein NK-2 homolog C)	reviewed
Q8TAV0	FAM76A	FAM76A	Protein FAM76A	reviewed
Q8TAV5	KCNJ5-AS1	KCNJ5-AS1 C11orf45	Uncharacterized protein KCNJ5-AS1 (KCNJ5 antisense RNA 1)	reviewed
Q8TAW3	ZNF671	ZNF671	Zinc finger protein 671	reviewed
Q8TB22	SPATA20	SPATA20	Spermatogenesis-associated protein 20 (Sperm-specific protein 411) (Ssp411)	reviewed
Q8TB69	ZNF519	ZNF519	Zinc finger protein 519	reviewed
Q8TBA7	HSP90AA1	HSP90AA1	HSP90AA1 protein	unreviewed
Q8TBI4	GABRA2	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2)	unreviewed
Q8TBR7	TLCD3A	TLCD3A FAM57A	TLC domain-containing protein 3A (Protein CT120) (Protein FAM57A)	reviewed
Q8TC17	GRAPL	GRAPL	GRB2-related adapter protein-like	reviewed
Q8TC62	SEPT7	SEPT7	Septin	unreviewed
Q8TCB0	IFI44	IFI44 MTAP44	Interferon-induced protein 44 (p44) (Microtubule-associated protein 44)	reviewed
Q8TCN5	ZNF507	ZNF507 KIAA1084	Zinc finger protein 507	reviewed
Q8TD27			Ferritin	unreviewed
Q8TD55	PLEKHO2	PLEKHO2 PLEKHQ1 PP9099	Pleckstrin homology domain-containing family O member 2 (PH domain-containing family O member 2) (Pleckstrin homology domain-containing family Q member 1) (PH domain-containing family Q member 1)	reviewed
Q8TDJ5	TFG/ALK fusion	TFG/ALK fusion	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed
Q8TDU5	VN1R17P	VN1R17P VNRL4	Putative vomeronasal receptor-like protein 4 (G protein-coupled receptor GPCR23) (hGPCR23)	reviewed
Q8TE46	MDM2 isoform N1_40	MDM2 isoform N1_40	E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)	unreviewed
Q8TE47	MDM2 isoform KB9	MDM2 isoform KB9	E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)	unreviewed
Q8TE96	DQX1	DQX1	ATP-dependent RNA helicase homolog DQX1 (DEAQ box polypeptide 1)	reviewed
Q8TEE9	SAP25	SAP25	Histone deacetylase complex subunit SAP25 (25 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP25)	reviewed
