RowOrder,PXD,SampleGroup,Category,DisplayGroup,BiologicalMaterial,Dataset,DatasetPXD,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction,DatasetPointID,DatasetPointLabel
25,PXD078013,RKO WT and GSK3B KO,cancer_cells,RKO cells (WT and GSK3B KO),colorectal cancer cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,colorectal cancer cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,PXD030304,3615,252,0.0697095435684647,6.97095435684647,1217,113,9.28512736236647,3615,252,6.97095435684647,PXD078013__RKO WT and GSK3B KO__Whole proteome,PXD078013 / RKO WT and GSK3B KO
28,PXD028488,HEK293T,normal_cells,HEK293T cells,immortalized embryonic kidney cell line,Lactylome (Kla),PXD028488,PXD028488_Kla_dataset_union,HEK293T cells,immortalized embryonic kidney cell line,dataset_union,validated_publication_group_union,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD28-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD32-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD36-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD40-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD24-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD28-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD32-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD36-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD40-Search files/DB search psm.csv,PXD030304,438,44,0.100456621004566,10.0456621004566,438,44,10.0456621004566,6441,381,5.91523055426176,PXD028488__HEK293T__Lactylome (Kla),PXD028488 / HEK293T
28,PXD028488,HEK293T,normal_cells,HEK293T cells,immortalized embryonic kidney cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,immortalized embryonic kidney cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt,PXD030304,6441,381,0.0591523055426176,5.91523055426176,438,44,10.0456621004566,6441,381,5.91523055426176,PXD028488__HEK293T__Whole proteome,PXD028488 / HEK293T
29,PXD028737,HMC3,normal_cells,HMC3 cells (normoxia and hypoxia),human microglial cell line,Lactylome (Kla),PXD028737,PXD028737_Kla_dataset_union,HMC3 cells (normoxia and hypoxia),human microglial cell line,dataset_union,validated_publication_group_union,data/PXD028737/search_results/combined.zip,PXD028737,1410,157,0.111347517730496,11.1347517730496,1410,157,11.1347517730496,6132,425,6.93085453359426,PXD028737__HMC3__Lactylome (Kla),PXD028737 / HMC3
29,PXD028737,HMC3,normal_cells,HMC3 cells (normoxia and hypoxia),human microglial cell line,Whole proteome,PXD028737,PXD028737_reference_dataset_union,PXD028737 tumor/reference union,human microglial cell line,dataset_union,validated_reference_group_union,data/PXD028737/search_results/extracted_reference/txt/proteinGroups.txt,PXD028737,6132,425,0.0693085453359426,6.93085453359426,1410,157,11.1347517730496,6132,425,6.93085453359426,PXD028737__HMC3__Whole proteome,PXD028737 / HMC3
30,PXD058534,pretreated HK-2,normal_cells,HK-2 cells (IR-CM treated),immortalized proximal tubule cell line,Lactylome (Kla),PXD058534,PXD058534_Kla_dataset_union,HK-2 cells (IR-CM treated),immortalized proximal tubule cell line,dataset_union,validated_publication_group_union,data/PXD058534/search_results/txt.zip,PXD072220,2164,220,0.101663585951941,10.1663585951941,2164,220,10.1663585951941,4897,304,6.20788237696549,PXD058534__pretreated HK-2__Lactylome (Kla),PXD058534 / pretreated HK-2
30,PXD058534,pretreated HK-2,normal_cells,HK-2 cells (IR-CM treated),immortalized proximal tubule cell line,Whole proteome,PXD072220,PXD072220_reference_dataset_union,PXD072220 tumor/reference union,immortalized proximal tubule cell line,dataset_union,validated_reference_group_union,data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4897,304,0.0620788237696549,6.20788237696549,2164,220,10.1663585951941,4897,304,6.20788237696549,PXD058534__pretreated HK-2__Whole proteome,PXD058534 / pretreated HK-2
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),immortalized proximal tubule cell line,Lactylome (Kla),PXD078736,PXD078736_Kla_dataset_union,HK-2 cells (normoxia and hypoxia-reoxygenation),immortalized proximal tubule cell line,dataset_union,validated_publication_group_union,data/PXD078736/search_results/txt/La(K)Sites.txt,PXD072220,1250,132,0.1056,10.56,1250,132,10.56,4897,304,6.20788237696549,PXD078736__HK-2 control and mannitol__Lactylome (Kla),PXD078736 / HK-2 control and mannitol
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),immortalized proximal tubule cell line,Whole proteome,PXD072220,PXD072220_reference_dataset_union,PXD072220 tumor/reference union,immortalized proximal tubule cell line,dataset_union,validated_reference_group_union,data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4897,304,0.0620788237696549,6.20788237696549,1250,132,10.56,4897,304,6.20788237696549,PXD078736__HK-2 control and mannitol__Whole proteome,PXD078736 / HK-2 control and mannitol
32,PXD060185,MCF10A,normal_cells,MCF10A cells,non-tumorigenic immortalized mammary cell line,Lactylome (Kla),PXD060185,PXD060185_Kla_dataset_union,MCF10A cells,non-tumorigenic immortalized mammary cell line,dataset_union,validated_publication_group_union,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,PXD002400,947,115,0.121436114044351,12.1436114044351,947,115,12.1436114044351,4839,242,5.00103327133705,PXD060185__MCF10A__Lactylome (Kla),PXD060185 / MCF10A
32,PXD060185,MCF10A,normal_cells,MCF10A cells,non-tumorigenic immortalized mammary cell line,Whole proteome,PXD002400,PXD002400_reference_dataset_union,PXD002400 tumor/reference union,non-tumorigenic immortalized mammary cell line,dataset_union,validated_reference_group_union,data/PXD002400/search_results/msms.zip,PXD002400,4839,242,0.0500103327133705,5.00103327133705,947,115,12.1436114044351,4839,242,5.00103327133705,PXD060185__MCF10A__Whole proteome,PXD060185 / MCF10A
33,PXD070007,neural stem cells,normal_cells,Neural stem-cell models,normal neural stem-cell cultures,Lactylome (Kla),PXD070007,PXD070007_Kla_dataset_union,Neural stem-cell models,normal neural stem-cell cultures,dataset_union,validated_publication_group_union,data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,PXD069969,1527,173,0.113294040602489,11.3294040602489,1527,173,11.3294040602489,7246,459,6.33452939552857,PXD070007__neural stem cells__Lactylome (Kla),PXD070007 / neural stem cells
33,PXD070007,neural stem cells,normal_cells,Neural stem-cell models,normal neural stem-cell cultures,Whole proteome,PXD069969,PXD069969_reference_dataset_union,PXD069969 tumor/reference union,normal neural stem-cell cultures,dataset_union,validated_reference_group_union,data/PXD069969/search_results/SA206LQB1_Annotation.xlsx,PXD069969,7246,459,0.0633452939552857,6.33452939552857,1527,173,11.3294040602489,7246,459,6.33452939552857,PXD070007__neural stem cells__Whole proteome,PXD070007 / neural stem cells
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),primary human endothelial cell culture,Lactylome (Kla),PXD073311,PXD073311_Kla_dataset_union,HUVECs (control and P. gingivalis infection),primary human endothelial cell culture,dataset_union,validated_publication_group_union,data/PXD073311/search_results/IPX0015307003_Database_search_result.zip,PXD073311,1911,184,0.0962846677132391,9.62846677132391,1911,184,9.62846677132391,7794,512,6.56915576084167,PXD073311__HUVEC control and Pg infection__Lactylome (Kla),PXD073311 / HUVEC control and Pg infection
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),primary human endothelial cell culture,Whole proteome,PXD073311,PXD073311_reference_dataset_union,PXD073311 tumor/reference union,primary human endothelial cell culture,dataset_union,validated_reference_group_union,data/PXD073311/search_results/extracted_pairing/IPX0015307001_Database_search_result/Database_search_result/report.pg_matrix.tsv,PXD073311,7794,512,0.0656915576084167,6.56915576084167,1911,184,9.62846677132391,7794,512,6.56915576084167,PXD073311__HUVEC control and Pg infection__Whole proteome,PXD073311 / HUVEC control and Pg infection
