UniProt,GeneName,Compartment,Function,CatalyticReaction,LastAnnotationUpdate
Q5JTZ9,AARS2,Mitochondrion,"Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain (PubMed:21549344). In presence of high levels of lactate, also acts as a protein lactyltransferase that mediates lactylation of lysine residues in target proteins, such as CGAS (PubMed:39322678). Acts as an inhibitor of cGAS/STING signaling by catalyzing lactylation of CGAS, preventing the formation of liquid-like droplets in which CGAS is activated (PubMed:39322678)",tRNA(Ala) + L-alanine + ATP = L-alanyl-tRNA(Ala) + AMP + diphosphate | (S)-lactate + ATP + H(+) = (S)-lactoyl-AMP + diphosphate | (S)-lactoyl-AMP + L-lysyl-[protein] = N(6)-[(S)-lactoyl]-L-lysyl-[protein] + AMP + 2 H(+),2026-09-02
Q86WU2,LDHD,Mitochondrion,"The mitochondrial D-lactate dehydrogenase is a stereoselective dehydrogenase that targets a wide variety of D-2-hydroxyacids, particularly those with small to moderately sized hydrophobic groups attached to the C2 atom. It includes D-lactate which is generated in small amounts either endogenously through the methylglyoxal metabolism pathway or exogenously via intestinal bacterial activity and dietary intake. The dehydrogenase acts specifically on D-lactate, not on its stereoisomer L-lactate, and prevents the toxic accumulation of D-lactate in the organism (PubMed:30931947, PubMed:38373542). By converting branched-chain D-2-hydroxyacids into branched-chain ketoacids, it may indirectly regulate branched-chain amino acid metabolism (By similarity)",a (2R)-2-hydroxycarboxylate + FAD + H(+) = a 2-oxocarboxylate + FADH2 | (R)-lactate + FAD + H(+) = FADH2 + pyruvate | (2R)-hydroxybutanoate + FAD + H(+) = 2-oxobutanoate + FADH2 | (2R)-hydroxypentanoate + FAD + H(+) = 2-oxopentanoate + FADH2 | (2R)-hydroxyhexanoate + FAD + H(+) = 2-oxohexanoate + FADH2 | (2R)-hydroxyoctanoate + FAD + H(+) = 2-oxooctanoate + FADH2 | (R)-2-hydroxy-3-methylbutanoate + FAD + H(+) = 3-methyl-2-oxobutanoate + FADH2 | (2R)-hydroxy-4-methylpentanoate + FAD + H(+) = 4-methyl-2-oxopentanoate + FADH2 | (2R)-hydroxy-3-methylpentanoate + FAD + H(+) = 3-methyl-2-oxopentanoate + FADH2 | (R)-3-phenyllactate + FAD + H(+) = 3-phenylpyruvate + FADH2,2026-09-02
Q6PCB8,EMB,Cell membrane; Synapse,"Plays a role in the outgrowth of motoneurons and in the formation of neuromuscular junctions. Following muscle denervation, promotes nerve terminal sprouting and the formation of additional acetylcholine receptor clusters at synaptic sites without affecting terminal Schwann cell number or morphology. Delays the retraction of terminal sprouts following re-innervation of denervated endplates. May play a role in targeting the monocarboxylate transporters SLC16A1, SLC16A6 and SLC16A7 to the cell membrane (By similarity)",,2026-09-02
Q8N695,SLC5A8,Apical cell membrane,"Acts as an electrogenic sodium (Na(+)) and chloride (Cl-)-dependent sodium-coupled solute transporter, including transport of monocarboxylates (short-chain fatty acids including L-lactate, D-lactate, pyruvate, acetate, propionate, valerate and butyrate), mocarboxylate drugs (nicotinate, benzoate, salicylate and 5-aminosalicylate) and ketone bodies (beta-D-hydroxybutyrate, acetoacetate and alpha-ketoisocaproate), with a Na(+):substrate stoichiometry of between 4:1 and 2:1 (PubMed:14966140, PubMed:15090606, PubMed:16729224, PubMed:16805814, PubMed:17178845, PubMed:17245649, PubMed:17526579, PubMed:20211600, PubMed:30604288). Catalyzes passive carrier mediated diffusion of iodide (PubMed:12107270). Mediates iodide transport from the thyrocyte into the colloid lumen through the apical membrane (PubMed:12107270). May be responsible for the absorption of D-lactate and monocarboxylate drugs from the intestinal tract (PubMed:17245649). Acts as a tumor suppressor, suppressing colony formation in colon cancer, prostate cancer and glioma cell lines (PubMed:12829793, PubMed:15867356, PubMed:18037591). May play a critical role in the entry of L-lactate and ketone bodies into neurons by a process driven by an electrochemical Na(+) gradient and hence contribute to the maintenance of the energy status and function of neurons (PubMed:16805814). Mediates sodium-coupled electrogenic transport of pyroglutamate (5-oxo-L-proline) (PubMed:20211600). Can mediate the transport of chloride, bromide, iodide and nitrate ions when the external concentration of sodium ions is reduced (PubMed:19864324). Part of D-serine transport systems. May contribute to D-serine reabsorption at the brush border of renal proximal tubules thus modulating the dynamics of urinary versus blood D-serine levels",(S)-lactate(out) + 2 Na(+)(out) = (S)-lactate(in) + 2 Na(+)(in) | propanoate(out) + 2 Na(+)(out) = propanoate(in) + 2 Na(+)(in) | pyruvate(out) + 2 Na(+)(out) = pyruvate(in) + 2 Na(+)(in) | acetate(out) + 2 Na(+)(out) = acetate(in) + 2 Na(+)(in) | butanoate(out) + 2 Na(+)(out) = butanoate(in) + 2 Na(+)(in) | nicotinate(out) + 2 Na(+)(out) = nicotinate(in) + 2 Na(+)(in) | (R)-3-hydroxybutanoate(out) + 2 Na(+)(out) = (R)-3-hydroxybutanoate(in) + 2 Na(+)(in) | acetoacetate(out) + 2 Na(+)(out) = acetoacetate(in) + 2 Na(+)(in) | 4-methyl-2-oxopentanoate(out) + 2 Na(+)(out) = 4-methyl-2-oxopentanoate(in) + 2 Na(+)(in) | 5-oxo-L-proline(out) + 2 Na(+)(out) = 5-oxo-L-proline(in) + 2 Na(+)(in) | D-serine(out) + 2 Na(+)(out) = D-serine(in) + 2 Na(+)(in) | iodide(out) = iodide(in) | chloride(in) = chloride(out) | nitrate(in) = nitrate(out) | bromide(in) = bromide(out),2026-09-02
Q96I99,SUCLG2,Mitochondrion,"GTP-specific succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of GTP and thus represents the only step of substrate-level phosphorylation in the TCA (PubMed:40108300). The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit (By similarity). Also able to act as a GTP-specific itaconyl- and malyl-CoA synthetase (PubMed:40108300)",GTP + succinate + CoA = succinyl-CoA + GDP + phosphate,2026-09-02
Q9BUM1,G6PC3,Endoplasmic reticulum membrane,Hydrolyzes glucose-6-phosphate to glucose in the endoplasmic reticulum. May form with the glucose-6-phosphate transporter (SLC37A4/G6PT) a ubiquitously expressed complex responsible for glucose production through glycogenolysis and gluconeogenesis. Probably required for normal neutrophil function,D-glucose 6-phosphate + H2O = D-glucose + phosphate,2026-06-10
Q8TD30,GPT2,,Catalyzes the reversible transamination between alanine and 2-oxoglutarate to form pyruvate and glutamate,L-alanine + 2-oxoglutarate = pyruvate + L-glutamate,2026-09-02
Q9Y5U8,MPC1,Mitochondrion inner membrane,"Mediates the uptake of pyruvate into mitochondria to maintain the balance between glycolysis and oxidative phosphorylation (PubMed:22628558, PubMed:26253029, PubMed:27317664, PubMed:40044865, PubMed:40101766). Plays an essential role in cellular metabolism (PubMed:40044865, PubMed:40101766)",pyruvate(out) + H(+)(out) = pyruvate(in) + H(+)(in),2026-09-02
Q9P0J1,PDP1,Mitochondrion,"Mitochondrial enzyme that catalyzes the dephosphorylation and concomitant reactivation of the alpha subunit of the E1 component of the pyruvate dehydrogenase complex (PDC), thereby stimulating the conversion of pyruvate into acetyl-CoA",O-phospho-L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + H2O = L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + phosphate,2026-09-02
Q9NR19,ACSS2,"Cytoplasm; Cytoplasm, cytosol; Nucleus","Catalyzes the synthesis of acetyl-CoA from short-chain fatty acids (PubMed:10843999, PubMed:28003429, PubMed:28552616, PubMed:38369012, PubMed:39561764). Acetate is the preferred substrate (PubMed:10843999, PubMed:28003429, PubMed:38369012, PubMed:39561764). Can also utilize propionate with a much lower affinity (PubMed:38369012). Catalyzes the conversion of lactate into lactoyl-CoA (PubMed:39561764). Does not catalyze the conversion of butyrate or crotonate to their corresponding acyl-CoAs (PubMed:38369012). Nuclear ACSS2 promotes glucose deprivation-induced lysosomal biogenesis and autophagy, tumor cell survival and brain tumorigenesis (PubMed:28552616). Glucose deprivation results in AMPK-mediated phosphorylation of ACSS2 leading to its translocation to the nucleus where it binds to TFEB and locally produces acetyl-CoA for histone acetylation in the promoter regions of TFEB target genes thereby activating their transcription (PubMed:28552616). The regulation of genes associated with autophagy and lysosomal activity through ACSS2 is important for brain tumorigenesis and tumor survival (PubMed:28552616). Acts as a chromatin-bound transcriptional coactivator that up-regulates histone acetylation and expression of neuronal genes (By similarity). Can be recruited to the loci of memory-related neuronal genes to maintain a local acetyl-CoA pool, providing the substrate for histone acetylation and promoting the expression of specific genes, which is essential for maintaining long-term spatial memory (By similarity)",acetate + ATP + CoA = acetyl-CoA + AMP + diphosphate | propanoate + ATP + CoA = propanoyl-CoA + AMP + diphosphate | (S)-lactate + ATP + CoA = (S)-lactoyl-CoA + AMP + diphosphate,2026-09-02
Q9P2J9,PDP2,Mitochondrion,"Mitochondrial enzyme that catalyzes the dephosphorylation and concomitant reactivation of the alpha subunit of the E1 component of the pyruvate dehydrogenase complex (PDC), thereby stimulating the conversion of pyruvate into acetyl-CoA (By similarity). Acts as a crucial regulator of T cell metabolism and function, with a particular focus on T-helper Th17 (By similarity)",O-phospho-L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + H2O = L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + phosphate,2026-09-02
