BaseAccession	PanelMembership	EnsemblGeneIDs	NGeneIDs	AmbiguousGeneMapping	EntrezGeneIDs	EnsemblGeneViaEntrez	CachedEnsemblProteinIDs	CrossCheck
A0ACI8SAR3	DdrGoUniverse	ENSG00000012061	1	False				route2_unavailable_no_entrez
A0ACI8SAU3	DdrGoUniverse	ENSG00000187790	1	False				route2_unavailable_no_entrez
A0ACI8SB09	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8SB29	DdrGoUniverse	ENSG00000065057	1	False				route2_unavailable_no_entrez
A0ACI8SBD6	DdrGoUniverse	ENSG00000125871	1	False				route2_unavailable_no_entrez
A0ACI8SBL7	DdrGoUniverse	ENSG00000155229	1	False				route2_unavailable_no_entrez
A0ACI8SC25	DdrGoUniverse	ENSG00000155229	1	False				route2_unavailable_no_entrez
A0ACI8SD04	DdrGoUniverse	ENSG00000002016	1	False				route2_unavailable_no_entrez
A0ACI8SD79	DdrGoUniverse	ENSG00000187531	1	False				route2_unavailable_no_entrez
A0ACI8SDJ3	DdrGoUniverse	ENSG00000198399	1	False	50618	ENSG00000198399		agree
A0ACI8SDS8	DdrGoUniverse	ENSG00000092201	1	False				route2_unavailable_no_entrez
A0ACI8SEB7	DdrGoUniverse	ENSG00000065057	1	False				route2_unavailable_no_entrez
A0ACI8SEK0	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8SF55	DdrGoUniverse	ENSG00000012061	1	False				route2_unavailable_no_entrez
A0ACI8SFH2	DdrGoUniverse	ENSG00000155229	1	False				route2_unavailable_no_entrez
A0ACI8SHI3	DdrGoUniverse	ENSG00000152942	1	False				route2_unavailable_no_entrez
A0ACI8SHJ0	DdrGoUniverse	ENSG00000152942	1	False				route2_unavailable_no_entrez
A0ACI8SHN2	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SHX2	DdrGoUniverse	ENSG00000041880	1	False				route2_unavailable_no_entrez
A0ACI8SHX6	DdrGoUniverse	ENSG00000041880	1	False				route2_unavailable_no_entrez
A0ACI8SHY7	DdrGoUniverse	ENSG00000041880	1	False				route2_unavailable_no_entrez
A0ACI8SI07	DdrGoUniverse	ENSG00000041880	1	False				route2_unavailable_no_entrez
A0ACI8SI22	DdrGoUniverse	ENSG00000108469	1	False				route2_unavailable_no_entrez
A0ACI8SI32	DdrGoUniverse	ENSG00000108469	1	False				route2_unavailable_no_entrez
A0ACI8SI37	DdrGoUniverse	ENSG00000108469	1	False				route2_unavailable_no_entrez
A0ACI8SJ81	DdrGoUniverse	ENSG00000183474	1	False				route2_unavailable_no_entrez
A0ACI8SJC4	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJC5	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJC8	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJH5	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJI5	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJJ8	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJK6	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJM8	DdrGoUniverse	ENSG00000197275	1	False				route2_unavailable_no_entrez
A0ACI8SJR5	DdrGoUniverse	ENSG00000253729	1	False				route2_unavailable_no_entrez
A0ACI8SJX4	DdrGoUniverse	ENSG00000253729	1	False				route2_unavailable_no_entrez
A0ACI8SL14	DdrGoUniverse	ENSG00000149930	1	False	9344	ENSG00000149930		agree
A0ACI8SLT5	DdrGoUniverse	ENSG00000051180	1	False				route2_unavailable_no_entrez
A0ACI8SMB7	DdrGoUniverse	ENSG00000104884	1	False				route2_unavailable_no_entrez
A0ACI8SMD6	DdrGoUniverse	ENSG00000104884	1	False				route2_unavailable_no_entrez
A0ACI8SNL0	DdrGoUniverse	ENSG00000187790	1	False				route2_unavailable_no_entrez
A0ACI8SNQ8	DdrGoUniverse	ENSG00000187790	1	False				route2_unavailable_no_entrez
A0ACI8SQQ0	DdrGoUniverse	ENSG00000129071	1	False				route2_unavailable_no_entrez
A0ACI8SS91	DdrGoUniverse	ENSG00000134574	1	False				route2_unavailable_no_entrez
A0ACI8SSD7	DdrGoUniverse	ENSG00000134574	1	False				route2_unavailable_no_entrez
A0ACI8SSZ5	DdrGoUniverse	ENSG00000145736	1	False	2966	ENSG00000145736		agree
A0ACI8STN6	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STP3	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STQ7	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STR0	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STR2	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STR6	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STR9	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STS9	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STT5	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STV0	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8STV8	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8SU09	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8SU32	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8SU33	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8SU61	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8SU72	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8SU80	DdrGoUniverse	ENSG00000105486	1	False				route2_unavailable_no_entrez
A0ACI8SVU1	DdrGoUniverse	ENSG00000012061	1	False				route2_unavailable_no_entrez
A0ACI8SVU6	DdrGoUniverse	ENSG00000012061	1	False				route2_unavailable_no_entrez
A0ACI8SWG9	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SWH4	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SWH5	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SWL1	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SWT4	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SWY1	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SX47	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0ACI8SXA3	DdrGoUniverse	ENSG00000158019	1	False				route2_unavailable_no_entrez
A0ACI8SXI2	DdrGoUniverse	ENSG00000158019	1	False	9577	ENSG00000158019		agree
A0ACI8SYD5	DdrGoUniverse	ENSG00000112130	1	False				route2_unavailable_no_entrez
A0ACI8SYE2	DdrGoUniverse	ENSG00000112130	1	False				route2_unavailable_no_entrez
A0ACI8SYF0	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SYF1	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SYK2	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SYK8	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SYL0	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SYL2	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SYN3	DdrGoUniverse	ENSG00000108469	1	False				route2_unavailable_no_entrez
A0ACI8SYU3	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SZ06	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SZ53	DdrGoUniverse	ENSG00000004487	1	False				route2_unavailable_no_entrez
A0ACI8SZE6	DdrGoUniverse	ENSG00000169188	1	False				route2_unavailable_no_entrez
A0ACI8SZG3	DdrGoUniverse	ENSG00000169188	1	False				route2_unavailable_no_entrez
A0ACI8T0G0	DdrGoUniverse	ENSG00000135945	1	False				route2_unavailable_no_entrez
A0ACI8T0G5	DdrGoUniverse	ENSG00000135945	1	False				route2_unavailable_no_entrez
A0ACI8T0L4	DdrGoUniverse	ENSG00000135945	1	False				route2_unavailable_no_entrez
A0ACI8T0S7	DdrGoUniverse	ENSG00000135945	1	False				route2_unavailable_no_entrez
A0ACI8T0W4	DdrGoUniverse	ENSG00000135945	1	False				route2_unavailable_no_entrez
A0ACI8T2K2	DdrGoUniverse	ENSG00000136273	1	False				route2_unavailable_no_entrez
A0ACI8T2M6	DdrGoUniverse	ENSG00000136273	1	False				route2_unavailable_no_entrez
A0ACI8T2Q1	DdrGoUniverse	ENSG00000136273	1	False				route2_unavailable_no_entrez
A0ACI8T2R8	DdrGoUniverse	ENSG00000127311	1	False				route2_unavailable_no_entrez
A0ACI8T430	DdrGoUniverse	ENSG00000124535	1	False				route2_unavailable_no_entrez
A0ACI8T475	DdrGoUniverse	ENSG00000124535	1	False				route2_unavailable_no_entrez
A0ACI8T498	DdrGoUniverse	ENSG00000143799	1	False				route2_unavailable_no_entrez
A0ACI8T4C7	DdrGoUniverse	ENSG00000143799	1	False				route2_unavailable_no_entrez
A0ACI8T4H0	DdrGoUniverse	ENSG00000160957	1	False				route2_unavailable_no_entrez
A0ACI8T4H2	DdrGoUniverse	ENSG00000143799	1	False				route2_unavailable_no_entrez
A0ACI8T4I1	DdrGoUniverse	ENSG00000143799	1	False				route2_unavailable_no_entrez
A0ACI8T4L2	DdrGoUniverse	ENSG00000143799	1	False				route2_unavailable_no_entrez
A0ACI8T4N3	DdrGoUniverse	ENSG00000108468	1	False				route2_unavailable_no_entrez
A0ACI8T5A1	DdrGoUniverse	ENSG00000182150	1	False				route2_unavailable_no_entrez
A0ACI8T5E8	DdrGoUniverse	ENSG00000132906	1	False				route2_unavailable_no_entrez
A0ACI8T5W2	DdrGoUniverse	ENSG00000182150	1	False				route2_unavailable_no_entrez
A0ACI8T6A1	DdrGoUniverse	ENSG00000136492	1	False				route2_unavailable_no_entrez
A0ACI8T6G8	DdrGoUniverse	ENSG00000136492	1	False	83990	ENSG00000136492		agree
A0ACI8T6L5	DdrGoUniverse	ENSG00000140451	1	False				route2_unavailable_no_entrez
A0ACI8T6N1	DdrGoUniverse	ENSG00000140451	1	False				route2_unavailable_no_entrez
A0ACI8T6N3	DdrGoUniverse	ENSG00000140451	1	False				route2_unavailable_no_entrez
A0ACI8T6N6	DdrGoUniverse	ENSG00000140451	1	False				route2_unavailable_no_entrez
A0ACI8T6Y2	DdrGoUniverse	ENSG00000140451	1	False				route2_unavailable_no_entrez
A0ACI8T7D8	DdrGoUniverse	ENSG00000092201	1	False				route2_unavailable_no_entrez
A0ACI8T812	DdrGoUniverse	ENSG00000149311	1	False				route2_unavailable_no_entrez
A0ACI8T844	DdrGoUniverse	ENSG00000092201	1	False				route2_unavailable_no_entrez
A0ACI8T855	DdrGoUniverse	ENSG00000092201	1	False				route2_unavailable_no_entrez
A0ACI8T8A3	DdrGoUniverse	ENSG00000092201	1	False				route2_unavailable_no_entrez
A0ACI8T9R4	DdrGoUniverse	ENSG00000129484	1	False				route2_unavailable_no_entrez
A0ACI8T9R5	DdrGoUniverse	ENSG00000114742	1	False	57599	ENSG00000114742		agree
A0ACI8TAA0	DdrGoUniverse	ENSG00000065057	1	False				route2_unavailable_no_entrez
A0ACI8TAB1	DdrGoUniverse	ENSG00000065057	1	False				route2_unavailable_no_entrez
A0ACI8TAE4	DdrGoUniverse	ENSG00000129484	1	False				route2_unavailable_no_entrez
A0ACI8TAH1	DdrGoUniverse	ENSG00000065057	1	False				route2_unavailable_no_entrez
A0ACI8TAK2	DdrGoUniverse	ENSG00000129484	1	False				route2_unavailable_no_entrez
A0ACI8TBG5	DdrGoUniverse	ENSG00000179262	1	False				route2_unavailable_no_entrez
A0ACI8TBL1	DdrGoUniverse	ENSG00000179262	1	False				route2_unavailable_no_entrez
A0ACI8TBS0	DdrGoUniverse	ENSG00000179262	1	False				route2_unavailable_no_entrez
A0ACI8TC13	DdrGoUniverse	ENSG00000104889	1	False				route2_unavailable_no_entrez
A0ACI8TCB4	DdrGoUniverse	ENSG00000174371	1	False	9156	ENSG00000174371		agree
A0ACI8TCB5	DdrGoUniverse	ENSG00000174371	1	False				route2_unavailable_no_entrez
A0ACI8TCB8	DdrGoUniverse	ENSG00000174371	1	False				route2_unavailable_no_entrez
A0ACI8TCC6	DdrGoUniverse	ENSG00000174371	1	False				route2_unavailable_no_entrez
A0ACI8TCC9	DdrGoUniverse	ENSG00000174371	1	False				route2_unavailable_no_entrez
A0ACI8TCD5	DdrGoUniverse	ENSG00000152942	1	False				route2_unavailable_no_entrez
A0ACI8TDP7	DdrGoUniverse	ENSG00000198399	1	False	50618	ENSG00000198399		agree
A0ACI8TDZ4	DdrGoUniverse	ENSG00000154920	1	False				route2_unavailable_no_entrez
A0ACI8TE12	DdrGoUniverse	ENSG00000154920	1	False				route2_unavailable_no_entrez
A0ACI8TE55	DdrGoUniverse	ENSG00000154920	1	False				route2_unavailable_no_entrez
A0ACI8TEK5	DdrGoUniverse	ENSG00000165392	1	False				route2_unavailable_no_entrez
A0ACI8TES0	DdrGoUniverse	ENSG00000140398	1	False				route2_unavailable_no_entrez
A0ACI8TET5	DdrGoUniverse	ENSG00000185379	1	False				route2_unavailable_no_entrez
A0ACI8TF88	DdrGoUniverse	ENSG00000185379	1	False				route2_unavailable_no_entrez
A0ACI8TFJ0	DdrGoUniverse	ENSG00000185379	1	False				route2_unavailable_no_entrez
A0ACI8TFT4	DdrGoUniverse	ENSG00000183765	1	False				route2_unavailable_no_entrez
A0ACI8TFZ3	DdrGoUniverse	ENSG00000185379	1	False				route2_unavailable_no_entrez
A0ACI8TG15	DdrGoUniverse	ENSG00000183624	1	False				route2_unavailable_no_entrez
A0ACI8TG98	DdrGoUniverse	ENSG00000002016	1	False				route2_unavailable_no_entrez
A0ACI8TGW0	DdrGoUniverse	ENSG00000183765	1	False				route2_unavailable_no_entrez
A0ACI8TH93	DdrGoUniverse	ENSG00000070501	1	False				route2_unavailable_no_entrez
A0ACI8THL6	DdrGoUniverse	ENSG00000183765	1	False				route2_unavailable_no_entrez
A0ACI8TIV3	DdrGoUniverse	ENSG00000187736	1	False				route2_unavailable_no_entrez
A0ACI8TJ08	DdrGoUniverse	ENSG00000187736	1	False				route2_unavailable_no_entrez
A0ACI8TJS7	DdrGoUniverse	ENSG00000151657	1	False				route2_unavailable_no_entrez
A0ACI8TKM2	DdrGoUniverse	ENSG00000132604	1	False				route2_unavailable_no_entrez
A0ACI8TKS5	DdrGoUniverse	ENSG00000020426	1	False				route2_unavailable_no_entrez
A0ACI8TKT1	DdrGoUniverse	ENSG00000020426	1	False				route2_unavailable_no_entrez
A0ACI8TKU1	DdrGoUniverse	ENSG00000101751	1	False				route2_unavailable_no_entrez
A0ACI8TL58	DdrGoUniverse	ENSG00000076248	1	False				route2_unavailable_no_entrez
A0ACI8TLP2	DdrGoUniverse	ENSG00000048392	1	False				route2_unavailable_no_entrez
A0ACI8TLR6	DdrGoUniverse	ENSG00000076248	1	False				route2_unavailable_no_entrez
A0ACI8TLT5	DdrGoUniverse	ENSG00000067369	1	False				route2_unavailable_no_entrez
A0ACI8TLU1	DdrGoUniverse	ENSG00000076248	1	False				route2_unavailable_no_entrez
A0ACI8TLW2	DdrGoUniverse	ENSG00000133119	1	False				route2_unavailable_no_entrez
A0ACI8TLX0	DdrGoUniverse	ENSG00000067369	1	False				route2_unavailable_no_entrez
A0ACI8TM59	DdrGoUniverse	ENSG00000189046	1	False				route2_unavailable_no_entrez
A0ACI8TMT7	DdrGoUniverse	ENSG00000171848	1	False				route2_unavailable_no_entrez
A0ACI8TN11	DdrGoUniverse	ENSG00000085999	1	False				route2_unavailable_no_entrez
A0ACI8TN15	DdrGoUniverse	ENSG00000171848	1	False				route2_unavailable_no_entrez
A0ACI8TN43	DdrGoUniverse	ENSG00000085999	1	False				route2_unavailable_no_entrez
A0ACI8TN94	DdrGoUniverse	ENSG00000085999	1	False				route2_unavailable_no_entrez
A0ACI8TNG8	DdrGoUniverse	ENSG00000171848	1	False				route2_unavailable_no_entrez
A0ACI8TNV8	DdrGoUniverse	ENSG00000171848	1	False				route2_unavailable_no_entrez
A0ACI8TNW3	DdrGoUniverse	ENSG00000085999	1	False				route2_unavailable_no_entrez
A0ACI8TP09	DdrGoUniverse	ENSG00000145632	1	False				route2_unavailable_no_entrez
A0ACI8TPD9	DdrGoUniverse	ENSG00000128908	1	False				route2_unavailable_no_entrez
A0ACI8TPG0	DdrGoUniverse	ENSG00000128908	1	False				route2_unavailable_no_entrez
A0ACI8TPH8	DdrGoUniverse	ENSG00000122512	1	False	5395	ENSG00000122512		agree
A0ACI8TPI5	DdrGoUniverse	ENSG00000128908	1	False				route2_unavailable_no_entrez
A0ACI8TPQ0	DdrGoUniverse	ENSG00000128908	1	False				route2_unavailable_no_entrez
A0ACI8TPT1	DdrGoUniverse	ENSG00000169189	1	False				route2_unavailable_no_entrez
A0ACI8TQP9	DdrGoUniverse	ENSG00000051341	1	False				route2_unavailable_no_entrez
A0ACI8TQX1	DdrGoUniverse	ENSG00000051341	1	False				route2_unavailable_no_entrez
A0ACI8TR44	DdrGoUniverse	ENSG00000051341	1	False				route2_unavailable_no_entrez
A0ACI8TR71	DdrGoUniverse	ENSG00000139579	1	False				route2_unavailable_no_entrez
A0ACI8TRA5	DdrGoUniverse	ENSG00000155229	1	False				route2_unavailable_no_entrez
A0ACI8TRE0	DdrGoUniverse	ENSG00000155229	1	False				route2_unavailable_no_entrez
A0ACI8TRE5	DdrGoUniverse	ENSG00000139579	1	False				route2_unavailable_no_entrez
A0ACI8TRE6	DdrGoUniverse	ENSG00000155229	1	False				route2_unavailable_no_entrez
A0ACI8TRM6	DdrGoUniverse	ENSG00000155229	1	False				route2_unavailable_no_entrez
A0ACI8TRN0	DdrGoUniverse	ENSG00000039650	1	False				route2_unavailable_no_entrez
A0ACI8TRU3	DdrGoUniverse	ENSG00000039650	1	False				route2_unavailable_no_entrez
A0ACI8TS69	DdrGoUniverse	ENSG00000154767	1	False				route2_unavailable_no_entrez
A0ACI8TSR5	DdrGoUniverse	ENSG00000154767	1	False				route2_unavailable_no_entrez
A0ACI8TSU2	DdrGoUniverse	ENSG00000154767	1	False				route2_unavailable_no_entrez
A0ACI8TU21	DdrGoUniverse	ENSG00000143476	1	False				route2_unavailable_no_entrez
A0ACI8TU27	DdrGoUniverse	ENSG00000118655	1	False				route2_unavailable_no_entrez
A0ACI8TU46	DdrGoUniverse	ENSG00000143476	1	False				route2_unavailable_no_entrez
A0ACI8TUA5	DdrGoUniverse	ENSG00000042088	1	False				route2_unavailable_no_entrez
A0ACI8TV00	DdrGoUniverse	ENSG00000104885	1	False				route2_unavailable_no_entrez
A0ACI8TVH4	DdrGoUniverse	ENSG00000143476	1	False				route2_unavailable_no_entrez
A0ACI8TVL8	DdrGoUniverse	ENSG00000143476	1	False				route2_unavailable_no_entrez
A0ACI8TVM9	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0ACI8TVU2	DdrGoUniverse	ENSG00000117748	1	False				route2_unavailable_no_entrez
A0ACI8TVU8	DdrGoUniverse	ENSG00000117748	1	False				route2_unavailable_no_entrez
A0ACI8TWR3	DdrGoUniverse	ENSG00000258366	1	False				route2_unavailable_no_entrez
A0ACI8TWT6	DdrGoUniverse	ENSG00000258366	1	False				route2_unavailable_no_entrez
A0ACI8TWV1	DdrGoUniverse	ENSG00000258366	1	False				route2_unavailable_no_entrez
A0ACI8TX46	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0ACI8TX92	DdrGoUniverse	ENSG00000258366	1	False				route2_unavailable_no_entrez
A0ACI8TXD4	DdrGoUniverse	ENSG00000258366	1	False				route2_unavailable_no_entrez
A0ACI8TXE9	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0ACI8TXF5	DdrGoUniverse	ENSG00000020922	1	False	4361	ENSG00000020922		agree
A0ACI8TXI3	DdrGoUniverse	ENSG00000100823	1	False				route2_unavailable_no_entrez
A0ACI8TXQ3	DdrGoUniverse	ENSG00000175054	1	False				route2_unavailable_no_entrez
A0ACI8TXQ4	DdrGoUniverse	ENSG00000020922	1	False				route2_unavailable_no_entrez
A0ACI8TXQ6	DdrGoUniverse	ENSG00000020922	1	False	4361	ENSG00000020922		agree
A0ACI8TXT5	DdrGoUniverse	ENSG00000100823	1	False				route2_unavailable_no_entrez
A0ACI8TXU9	DdrGoUniverse	ENSG00000175054	1	False				route2_unavailable_no_entrez
A0ACI8TXV5	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0ACI8TXW0	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0ACI8TXW4	DdrGoUniverse	ENSG00000116062	1	False				route2_unavailable_no_entrez
A0ACI8TY03	DdrGoUniverse	ENSG00000116062	1	False	2956	ENSG00000116062		agree
A0ACI8TYA8	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0ACI8TYB6	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0ACI8TYC0	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8TYF3	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8TYG5	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8TYH3	DdrGoUniverse	ENSG00000116062	1	False				route2_unavailable_no_entrez
A0ACI8TYK7	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8TYM4	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8TYN6	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8TYP1	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8TYU2	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8TYU9	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8TYX5	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8TZ20	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8TZ65	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8TZZ4	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8U0F3	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8U0K0	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8U0R1	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8U0W6	DdrGoUniverse	ENSG00000196419	1	False				route2_unavailable_no_entrez
A0ACI8U132	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8U180	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8U1B5	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8U1E7	DdrGoUniverse	ENSG00000133302	1	False	84250	ENSG00000133302		agree
A0ACI8U1W7	DdrGoUniverse	ENSG00000221829	1	False				route2_unavailable_no_entrez
A0ACI8U270	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8U2E7	DdrGoUniverse	ENSG00000133302	1	False	84250	ENSG00000133302		agree
A0ACI8U2S8	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8U2Z8	DdrGoUniverse	ENSG00000133302	1	False				route2_unavailable_no_entrez
A0ACI8U396	DdrGoUniverse	ENSG00000133302	1	False				route2_unavailable_no_entrez
A0ACI8U3D2	DdrGoUniverse	ENSG00000119969	1	False				route2_unavailable_no_entrez
A0ACI8U3N5	DdrGoUniverse	ENSG00000119969	1	False				route2_unavailable_no_entrez
A0ACI8U3P6	DdrGoUniverse	ENSG00000119969	1	False				route2_unavailable_no_entrez
A0ACI8U3T4	DdrGoUniverse	ENSG00000119969	1	False				route2_unavailable_no_entrez
A0ACI8U4B4	DdrGoUniverse	ENSG00000109674	1	False				route2_unavailable_no_entrez
A0ACI8U5M7	DdrGoUniverse	ENSG00000132207	1	False				route2_unavailable_no_entrez
A0ACI8U6R0	DdrGoUniverse	ENSG00000108469	1	False				route2_unavailable_no_entrez
A0ACI8U6X9	DdrGoUniverse	ENSG00000173846	1	False				route2_unavailable_no_entrez
A0ACI8U759	DdrGoUniverse	ENSG00000108469	1	False				route2_unavailable_no_entrez
A0ACI8U7K3	DdrGoUniverse	ENSG00000179262	1	False				route2_unavailable_no_entrez
A0ACI8U7P6	DdrGoUniverse	ENSG00000179262	1	False				route2_unavailable_no_entrez
A0ACI8UAW2	DdrGoUniverse	ENSG00000102081	1	False				route2_unavailable_no_entrez
A0ACI8UD96	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UDA0	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UDB4	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UDB8	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UDD4	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UDK4	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UE83	DdrGoUniverse	ENSG00000095002	1	False	4436	ENSG00000095002		agree
A0ACI8UED2	DdrGoUniverse	ENSG00000020922	1	False				route2_unavailable_no_entrez
A0ACI8UEF5	DdrGoUniverse	ENSG00000020922	1	False				route2_unavailable_no_entrez
A0ACI8UFW7	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8UG41	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UGZ1	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UH10	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UH15	DdrGoUniverse	ENSG00000132781	1	False	4595	ENSG00000132781		agree
A0ACI8UH17	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UH80	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0ACI8UH93	DdrGoUniverse	ENSG00000215041	1	False				route2_unavailable_no_entrez
A0ACI8UHA7	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8UHA8	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
A0ACI8UHB2	DdrGoUniverse	ENSG00000154920	1	False	146956	ENSG00000154920		agree
A0ACI8UHW2	DdrGoUniverse	ENSG00000125871	1	False				route2_unavailable_no_entrez
A0ACI8UHY0	DdrGoUniverse	ENSG00000079246	1	False				route2_unavailable_no_entrez
